time,latitude,longitude,Kd_490 monthly diffuse attenuation coefficient,,From ,"https://oceanwatch.pifsc.noaa.gov/erddap/griddap/aqua_kd490_monthly_2018_0.graph?Kd_490%5B(2002-07-16T12:00:00Z):(2021-06-16T12:00:00Z)%5D%5B(18.4585)%5D%5B(65.7057)%5D&.draw=lines&.vars=time%7CKd_490&.color=0x000000&.timeRange=1,month(s)&.bgColor=0xffffffff"
UTC,degrees_north,degrees_east,m-1,,Turbidity via MODIS aqua which represents turbidity of the water column,
2017-04-16T12:00:00Z,18.479164,65.68751,0.0486,,,
2017-05-16T12:00:00Z,18.479164,65.68751,0.0332,,,
2017-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
2017-07-16T12:00:00Z,18.479164,65.68751,NaN,,,
2017-08-16T12:00:00Z,18.479164,65.68751,NaN,,,
2017-09-16T12:00:00Z,18.479164,65.68751,0.043,,,
2017-10-16T12:00:00Z,18.479164,65.68751,0.0366,,,
2017-11-16T12:00:00Z,18.479164,65.68751,0.064,,,
2017-12-16T12:00:00Z,18.479164,65.68751,0.0722,,,
2018-01-16T12:00:00Z,18.479164,65.68751,0.1708,,,
2018-02-16T12:00:00Z,18.479164,65.68751,0.106,,,
2018-03-16T12:00:00Z,18.479164,65.68751,0.0476,,,
2018-04-16T12:00:00Z,18.479164,65.68751,0.0378,,,
2018-05-16T12:00:00Z,18.479164,65.68751,0.0334,,,
2018-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
2018-07-16T12:00:00Z,18.479164,65.68751,NaN,,,
2018-08-16T12:00:00Z,18.479164,65.68751,NaN,,,
2018-09-16T12:00:00Z,18.479164,65.68751,0.0586,,,
2018-10-16T12:00:00Z,18.479164,65.68751,0.0622,,,
2018-11-16T12:00:00Z,18.479164,65.68751,0.0498,,,
2018-12-16T12:00:00Z,18.479164,65.68751,0.086,,,
2019-01-16T12:00:00Z,18.479164,65.68751,0.0774,,,
2019-02-16T12:00:00Z,18.479164,65.68751,0.1178,,,
2019-03-16T12:00:00Z,18.479164,65.68751,0.0668,,,
2019-04-16T12:00:00Z,18.479164,65.68751,0.0402,,,
2019-05-16T12:00:00Z,18.479164,65.68751,0.0272,,,
2019-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
2019-07-16T12:00:00Z,18.479164,65.68751,NaN,,,
2019-08-16T12:00:00Z,18.479164,65.68751,NaN,,,
2019-09-16T12:00:00Z,18.479164,65.68751,NaN,,,
2019-10-16T12:00:00Z,18.479164,65.68751,0.0532,,,
2019-11-16T12:00:00Z,18.479164,65.68751,0.118,,,
2019-12-16T12:00:00Z,18.479164,65.68751,0.0692,,,
2020-01-16T12:00:00Z,18.479164,65.68751,0.0788,,,
2020-02-16T12:00:00Z,18.479164,65.68751,0.1382,,,
2020-03-16T12:00:00Z,18.479164,65.68751,0.1156,,,
2020-04-16T12:00:00Z,18.479164,65.68751,0.0652,,,
2020-05-16T12:00:00Z,18.479164,65.68751,0.0344,,,
2020-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
2020-07-16T12:00:00Z,18.479164,65.68751,NaN,,,
2020-08-16T12:00:00Z,18.479164,65.68751,NaN,,,
2020-09-16T12:00:00Z,18.479164,65.68751,NaN,,,
2020-10-16T12:00:00Z,18.479164,65.68751,0.036,,,
2020-11-16T12:00:00Z,18.479164,65.68751,0.0462,,,
2020-12-16T12:00:00Z,18.479164,65.68751,0.0758,,,
2021-01-16T12:00:00Z,18.479164,65.68751,0.1282,,,
2021-02-16T12:00:00Z,18.479164,65.68751,0.0678,,,
2021-03-16T12:00:00Z,18.479164,65.68751,0.0446,,,
2021-04-16T12:00:00Z,18.479164,65.68751,0.0386,,,
2021-05-16T12:00:00Z,18.479164,65.68751,0.0282,,,
2021-06-16T12:00:00Z,18.479164,65.68751,NaN,,,
