SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Mullidae,"GOATFISH,UNSPECIFIED",NA,NA,Mullidae,reef-associated,37.4,
Ogcocephalus nasutus,"BATFISH,SHORTNOSE",Shortnose batfish,2857,NA,reef-associated,38,
Ogcocephalidae,"BATFISH,UNSPECIFIED",NA,NA,Ogcocephalidae,reef-associated,38,
Opisthonema oglinum,"HERRING,ATLANTIC THREAD",Atlantic thread herring,5705,Dorosomatinae,reef-associated,38,
Acanthurus chirurgus,"SURGEONFISH,DOCTORFISH",Doctorfish,9710,Acanthurinae,reef-associated,39,
Acanthurus bahianus,"SURGEONFISH,OCEAN",Barber surgeonfish,9710,Acanthurinae,reef-associated,39,1
Acanthuridae,"SURGEONFISH,UNSPECIFIED",NA,NA,Acanthuridae,reef-associated,39,1
Haemulon bonariense,"GRUNT,BLACK",Black grunt,1239,Haemulinae,reef-associated,40,
Diapterus plumieri,"MOJARRA,STRIPED",Striped mojarra,NA,Gerreidae,reef-associated,40,
Bodianus rufus,"WRASSE,SPANISH HOGFISH",Spanish hogfish,1995,Bodianinae,reef-associated,40,
Anisotremus virginicus,"GRUNT,PORKFISH",Porkfish,1849,Haemulinae,reef-associated,40.59999847,
Gerres cinereus,"MOJARRA,YELLOWFIN",Yellow fin mojarra,2344,Gerreidae,reef-associated,41,
Pomacanthus paru,"ANGELFISH,FRENCH",French angelfish,1144,NA,reef-associated,41.09999847,
Epinephelus cruentatus,"GROUPER,GRAYSBY",Graysby,NA,Epinephelinae,reef-associated,42.6,
Haemulon macrostomum,"GRUNT,SPANISH",Spanish grunt,1239,Haemulinae,reef-associated,43,
Cephalopholis fulva,"GROUPER,CONEY",Coney,6535,Epinephelinae,reef-associated,44,
Mulloidichthys martinicus,"GOATFISH,YELLOW",Yellow goatfish,10232,NA,reef-associated,44.79999924,
Holacanthus ciliaris,"ANGELFISH,QUEEN",Queen angelfish,2304,NA,reef-associated,45,
Labridae,"WRASSES,UNSPECIFIED",NA,NA,Labridae,reef-associated,45.5,1
Pterois,LIONFISH,NA,NA,Pterois,reef-associated,45.7,
Haemulon sciurus,"GRUNT,BLUESTRIPED",Bluestriped grunt,1239,Haemulinae,reef-associated,46,
Synodus intermedius,"LIZARDFISH,SAND DIVER",Sand diver,3034,Synodontinae,reef-associated,46,
Synodontidae,"LIZARDFISH,UNSPECIFIED",NA,NA,Synodontinae,reef-associated,46,1
Sparisoma chrysopterum,"PARROTFISH,REDTAIL",Redtail parrotfish,4306,Sparisomatinae,reef-associated,46,
Calamus penna,"PORGY,SHEEPSHEAD (CALAMUS)",Sheepshead porgy,2964,NA,reef-associated,46,
Lutjanus mahogoni,"SNAPPER,MAHOGANY",Mahogany snapper,1202,Lutjaninae,reef-associated,48,
Lactophrys,"TRUNKFISH,UNSPECIFIED",Spotted trunkfish,NA,Lactophrys,reef-associated,48,1
Calamus,PORGY (CALAMUS),NA,NA,Calamus,reef-associated,49.6,1
Sparidae,"PORGY,UNSPECIFIED",NA,NA,Sparidae,reef-associated,49.6,1
Priacanthidae,BIGEYE,NA,NA,Priacanthidae,reef-associated,50,1
Priacanthus arenatus,BIGEYE,Atlantic bigeye,5555,NA,reef-associated,50,
Ostraciidae,"BOXFISH,UNSPECIFIED",Honeycomb cowfish,NA,Ostraciidae,reef-associated,50,1
Diodontidae,"BURRFISHES,UNSPECIFIED",Longspined porcupinefish,NA,Diodontidae,reef-associated,50,1
Acanthostracion polygonius,"COWFISH,HONEYCOMBED",Honeycomb cowfish,4119,NA,reef-associated,50,
Melichthys niger,"DURGON,BLACK",Black triggerfish,3393,NA,reef-associated,50,
Dactylopteridae,FLYING GUNARD,NA,NA,Dactylopteridae,reef-associated,50,
Dactylopterus volitans,FLYING GUNARD,Flying gurnard,1858,NA,reef-associated,50,
Trachinotus goodei,PALOMETA,Great pompano,2819,Trachinotinae,reef-associated,50,
Heteropriacanthus cruentatus,GLASSEYE SNAPPER,Glasseye,10162,NA,reef-associated,50.70000076,
