"N","logbook","adj","shellcatch","unmatched"
7,"SLEEPER,BIGMOUTH","BIGMOUTH SLEEPER",NA,NA
4,"SLEEPER,SPINYCHEEK","SPINYCHEEK SLEEPER",NA,NA
10,"SLEEPERS","SLEEPERS",NA,NA
8,"SNAKE MACKEREL,PURPLE","PURPLE SNAKE MACKEREL",NA,NA
7,"SNAKE MACKERELS","SNAKE MACKERELS",NA,NA
1855,"SNAPPER,BLACK","BLACK SNAPPER","BLACK SNAPPER",NA
5715,"SNAPPER,BLACKFIN","BLACKFIN SNAPPER","BLACKFIN SNAPPER",NA
7603,"SNAPPER,CARDINAL","CARDINAL SNAPPER","CARDINAL",NA
1,"SNAPPER,CARIBBEAN RED","CARIBBEAN RED SNAPPER","CARIBBEAN RED SNAPPER",NA
1968,"SNAPPER,CUBERA","CUBERA SNAPPER","CUBERA",NA
92,"SNAPPER,DOG","DOG SNAPPER","DOG SNAPPER",NA
263,"SNAPPER,GRAY","GRAY SNAPPER","GRAY SNAPPER",NA
173156,"SNAPPER,LANE","LANE SNAPPER","LANE SNAPPER",NA
58,"SNAPPER,MAHOGANY","MAHOGANY SNAPPER",NA,NA
87918,"SNAPPER,MUTTON","MUTTON SNAPPER","MUTTON SNAPPER",NA
32256,"SNAPPER,QUEEN","QUEEN SNAPPER","QUEEN SNAPPER",NA
94,"SNAPPER,SCHOOLMASTER","SCHOOLMASTER SNAPPER","SCHOOLMASTER SNAPPER",NA
122395,"SNAPPER,SILK","SILK SNAPPER","SILK SNAPPER",NA
73911,"SNAPPER,UNSPECIFIED","UNSPECIFIED SNAPPER",NA,NA
13285,"SNAPPER,VERMILION","VERMILION SNAPPER","VERMILION SNAPPER",NA
152979,"SNAPPER,YELLOWTAIL","YELLOWTAIL SNAPPER","YELLOWTAIL SNAPPER",NA
7072,"SNOOK,COMMON","COMMON SNOOK","SNOOK",NA
18,"SNOOK,FAT","FAT SNOOK","SNOOK",NA
13,"SNOOK,SWORDSPINE","SWORDSPINE SNOOK","SNOOK",NA
1,"SNOOK,TARPON","TARPON SNOOK","SNOOK",NA
19576,"SNOOK,UNSPECIFIED","UNSPECIFIED SNOOK","SNOOK",NA
5,"SOAPFISH","SOAPFISH",NA,NA
3,"SOAPFISH,GREATER","GREATER SOAPFISH",NA,NA
5,"SOLDIERFISH,BLACKBAR","BLACKBAR SOLDIERFISH",NA,NA
2,"SOLES,TONGUE","TONGUE SOLES",NA,NA
48,"SPADEFISH,ATLANTIC","ATLANTIC SPADEFISH",NA,NA
8,"SPANISH FLAG","SPANISH FLAG",NA,NA
431,"SQUIDS,UNSPECIFIED","UNSPECIFIED SQUIDS","SQUIDS",NA
26913,"SQUIRRELFISH","SQUIRRELFISH","SQUIRRELFISH",NA
125,"STINGRAY,SOUTHERN","SOUTHERN STINGRAY","SOUTHERN STINGRAY",NA
452,"STINGRAYS,UNSPECIFIED","UNSPECIFIED STINGRAYS","STINGRAYS",NA
22,"SURGEONFISH,DOCTORFISH","DOCTORFISH SURGEONFISH",NA,NA
44,"SURGEONFISH,OCEAN","OCEAN SURGEONFISH",NA,NA
14,"SURGEONFISH,UNSPECIFIED","UNSPECIFIED SURGEONFISH",NA,NA
117,"SWORDFISH","SWORDFISH","SWORDFISH",NA
1064,"TARPON","TARPON",NA,NA
3,"TATTLER","TATTLER",NA,NA
28,"THREADFIN","THREADFIN",NA,NA
72,"TILEFISH,BLACKLINE","BLACKLINE TILEFISH",NA,NA
52,"TILEFISH,SAND","SAND TILEFISH",NA,NA
4,"TILEFISH,UNSPECIFIED","UNSPECIFIED TILEFISH",NA,NA
21,"TOBACCOFISH","TOBACCOFISH","TOBACCOFISH",NA
698,"TOPSNAIL,WEST INDIAN","WEST INDIAN TOPSNAIL",NA,NA
1,"TRIGGERFISH,GRAY","GRAY TRIGGERFISH","TRIGGERFISH",NA
27,"TRIGGERFISH,OCEAN","OCEAN TRIGGERFISH","TRIGGERFISH",NA
96101,"TRIGGERFISH,QUEEN","QUEEN TRIGGERFISH","TRIGGERFISH",NA
14,"TRIGGERFISH,SARGASSUM","SARGASSUM TRIGGERFISH","TRIGGERFISH",NA
57,"TRIGGERFISH,UNSPECIFIED","UNSPECIFIED TRIGGERFISH","TRIGGERFISH",NA
44,"TRIPLETAIL","TRIPLETAIL","TRIPLETAIL",NA
2,"TRUMPETFISH","TRUMPETFISH",NA,NA
5595,"TRUNKFISH,UNSPECIFIED","UNSPECIFIED TRUNKFISH","TRUNKFISH",NA
22214,"TUNA AND MACKERELS,UNSPECIFI","UNSPECIFI TUNA AND MACKERELS",NA,NA
3057,"TUNA,ALBACORE","ALBACORE TUNA","ALBACORE",NA
27,"TUNA,BIGEYE","BIGEYE TUNA","BIGEYE TUNA",NA
14327,"TUNA,BLACKFIN","BLACKFIN TUNA","BLACKFIN TUNA",NA
15719,"TUNA,SKIPJACK","SKIPJACK TUNA","SKIPJACK TUNA",NA
8272,"TUNA,YELLOWFIN","YELLOWFIN TUNA",NA,NA
9331,"TUNNY,LITTLE","LITTLE TUNNY","LITTLE TUNNY",NA
4818,"WAHOO","WAHOO","WAHOO",NA
9,"WRASSE,PUDDINGWIFE","PUDDINGWIFE WRASSE","PUDDINGWIFE",NA
3568,"WRASSE,SPANISH HOGFISH","SPANISH HOGFISH WRASSE",NA,NA
24,"WRASSES,UNSPECIFIED","UNSPECIFIED WRASSES",NA,NA
