SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Belonidae,"NEEDLEFISH,UNSPECIFIED",NA,NA,Belonidae,needlefishes,reef-associated,140,1,1
Ablennes hians,"NEEDLEFISH,FLAT",Flat needlefish,4864,NA,needlefishes,reef-associated,140,NA,NA
Tylosurus crocodilus,HOUNDFISH,Hound needlefish,1044,NA,needlefishes,reef-associated,150,NA,NA
Octopus,"OCTOPUS,UNSPECIFIED",NA,NA,Octopus,octopus,invert,NA,NA,1
Polydactylus virginicus,BARBU,Barbu,5203,NA,other,demersal,33,NA,NA
Polymixia lowei,BEARDFISH,Beardfish,2622,NA,other,bathydemersal,20,NA,NA
Brotula barbata,"BROTULA,BEARDED",Bearded brotula,2662,Brotulinae,other,reef-associated,94,NA,NA
Ophidiidae,"CUSK-EELS,UNSPECIFIED",Marbled cusk eel,NA,Ophidiidae,other,demersal,22,1,NA
Antennariidae,FROGFISHES,NA,NA,Antennariidae,other,reef-associated,20,1,NA
Sicydium plumieri,"GOBY,SIRAJO",Sirajo,5237,Sicydiinae,other,benthopelagic,11,NA,NA
Elops saurus,LADYFISH,Ladyfish,565,NA,other,reef-associated,100,NA,NA
Neoscombrops atlanticus,"SCOMBROPS,ATLANTIC",NA,NA,Malakichthyidae,other,demersal,24.5,NA,NA
Megalopidae,TARPON,NA,NA,Megalopidae,other,reef-associated,250,NA,NA
Nomeus gronovii,MAN-OF-WAR FISH,Man-of-war fish,4085,NA,other,demersal,39,NA,NA
Peprilus paru,"HARVESTFISH,NORTHERN",American harvestfish,2567,NA,other,benthopelagic,30,NA,NA
Polymixiidae,BEARDFISH,NA,NA,Polymixiidae,other,bathydemersal,20,NA,NA
Polynemidae,THREADFIN,Barbu,NA,Polynemidae,other,demersal,33,NA,NA
Stromateidae,"BUTTERFISH,UNSPECIFIED",Atlantic butterfish,NA,Stromateidae,other,pelagic,30,NA,NA
Megalops atlanticus,TARPON,Tarpon,5018,NA,other,reef-associated,250,NA,NA
Cynoglossidae,"SOLES,TONGUE",NA,NA,Cynoglossidae,other,demersal,15,1,NA
Crassostrea rhizophorae,MANGROVE OYSTER,NA,NA,NA,oyster,invert,NA,NA,NA
Scaridae,"PARROTFISHES,UNSPECIFIED",NA,NA,Scaridae,parrotfishes,reef-associated,105.67,1,1
Scarus coelestinus,"PARROTFISH,MIDNIGHT",Midnight parrotfish,4784,Scarinae,parrotfishes,reef-associated,77,NA,NA
Scarus coeruleus,"PARROTFISH,BLUE",Blue parrotfish,4784,Scarinae,parrotfishes,reef-associated,120,NA,NA
Scarus guacamaia,"PARROTFISH,RAINBOW",Rainbow parrotfish,4784,Scarinae,parrotfishes,reef-associated,120,NA,NA
Sparisoma chrysopterum,"PARROTFISH,REDTAIL",Redtail parrotfish,4306,Sparisomatinae,parrotfishes,reef-associated,46,NA,1
Sparisoma viride,"PARROTFISH,STOPLIGHT",Stoplight parrotfish,4306,Sparisomatinae,parrotfishes,reef-associated,64,NA,1
Scarus vetula,"PARROTFISH,QUEEN",,,,parrotfishes,reef-associated,61,,1
Scarus taeniopterus,"PARROTFISH,PRINCESS",,,,parrotfishes,reef-associated,35,,1
Sparisoma rubripinne,"PARROTFISH,REDFIN",,,,parrotfishes,reef-associated,47.8,,1
Sparisoma aurofrenatum,"PARROTFISH,REDBAND",,,,parrotfishes,reef-associated,28,,1
Calamus,PORGY (CALAMUS),NA,NA,Calamus,porgies,reef-associated,49.6,1,NA
Archosargus rhomboidalis,"PORGY,SEA BREAM",Western Atlantic seabream,9352,NA,porgies,reef-associated,33,NA,NA
Calamus pennatula,"PORGY,PLUMA",Pluma porgy,2964,NA,porgies,reef-associated,37,NA,NA
Calamus penna,"PORGY,SHEEPSHEAD (CALAMUS)",Sheepshead porgy,2964,NA,porgies,reef-associated,46,NA,1
Calamus calamus,"PORGY,SAUCEREYE",Saucereye porgy,2964,NA,porgies,reef-associated,56,NA,1
Calamus bajonado,"PORGY,JOLTHEAD",Jolthead porgy,2964,NA,porgies,reef-associated,76,NA,1
Sparidae,"PORGY,UNSPECIFIED",NA,NA,Sparidae,porgies,reef-associated,49.6,1,1
Archosargus rhomboidalis,"BREAM,SEA",,,,porgies,reef-associated,33,,1
Diodontidae,"BURRFISHES,UNSPECIFIED",Longspined porcupinefish,NA,Diodontidae,pufferfishes,reef-associated,50,1,NA
Diodon hystrix,PORCUPINEFISH,Spot-fin porcupinefish,822,NA,pufferfishes,reef-associated,91,NA,NA
Tetraodontidae,"PUFFERS,UNSPECIFIED",NA,NA,Tetraodontidae,pufferfishes,reef-associated,65,1,NA
Lagocephalus laevigatus,"PUFFER,SMOOTH",Smooth puffer,3142,Tetraodontinae,pufferfishes,pelagic-neritic,100,NA,NA
Sphoeroides spengleri,"PUFFER,BANDTAIL",Bandtail puffer,4586,Tetraodontinae,pufferfishes,reef-associated,30,NA,NA
Dasyatis americana,"STINGRAY,SOUTHERN",Southern stingray,NA,Dasyatidae,rays,demersal,200,NA,NA
Dasyatidae,"STINGRAYS,UNSPECIFIED",NA,NA,Dasyatidae,rays,demersal,200,1,NA
Mobulidae,"RAYS,MANTA",NA,NA,Mobulidae,rays,pelagic,910,NA,NA
Manta birostris,"RAYS,MANTA",Giant manta,NA,Mobulidae,rays,pelagic,910,NA,NA
Myliobatidae,"RAYS,EAGLE",NA,NA,Myliobatidae,rays,demersal,230,NA,NA
Aetobatus narinari,"RAY,SPOTTED EAGLE",Whitespotted eagle ray,3987,NA,rays,benthopelagic,230,NA,NA
Echeneidae,REMORA,NA,NA,Echeneidae,remora,reef-associated,86.4,NA,NA
Remora remora,"REMORA, OTHER",,,,remora,reef-associated,86.40000153,NA,1
Echeneis naucrates,"REMORA,SHARKSUCKER",Live sharksucker,5569,NA,remora,reef-associated,110,NA,NA
,,,,,,,,,NA
Histrio histrio,SARGASSUMFISH,Sargassumfish,3872,Antennariinae,sargassumfish,reef-associated,20,NA,NA
Hippocampus reidi,"SEAHORSE,LONGSNOUT",Longsnout seahorse,5566,Syngnathinae,seahorse,reef-associated,17.5,NA,NA
Carcharhinidae,"SHARKS,REQUIEM,UNSPECIFIED",NA,NA,Carcharhinidae,sharks,reef-associated,300,1,1
Hexanchus vitulus,"SHARK,BIGEYED SIXGILL",Bigeyed sixgill shark,NA,Hexanchidae,sharks,demersal,180,NA,NA
Hexanchidae,"SHARK,COW",NA,NA,Hexanchidae,sharks,demersal,482,1,NA
