area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Acanthurus","Surgeonfishes","Small reef assoc. fish (<30 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,6.5466252899,14175.99864519378
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Acanthurus","Surgeonfishes","Small reef assoc. fish (<30 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,11.3771576274,24635.986324261543
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Acanthurus","Surgeonfishes","Small reef assoc. fish (<30 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,6.6282170827,14352.676718616587
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,6.5585073135
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,36.1475409836,80393.7753907378
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,18.5066866287,41159.71287592907
"US Virgin Isl.",eez,Reconstructed domestic catch,1,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","US Virgin Isl.",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,3.4527443571,0.5044597063058286
"US Virgin Isl.",eez,Reconstructed domestic catch,1,1950,"Acanthocybium solandri","Wahoo","Large pelagics (>=90 cm)","Perch-likes","US Virgin Isl.",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,3.4527443571,0.5044597063058286
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,2.9148921393
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,16.0655737705,51548.74783639343
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Katsuwonus pelamis","Skipjack tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,8.2251940572,26391.74052651935
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,7.2143580448
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,39.7622950820,100888.54036989342
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,20.3573552916,51652.548147089816
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Scomberomorus regalis","Cero","Large reef assoc. fish (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,4.1537212985
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Scomberomorus regalis","Cero","Large reef assoc. fish (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,22.8934426230,58087.34142509012
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Scomberomorus regalis","Cero","Large reef assoc. fish (>=90 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,11.7209015315,29739.34590286986
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Thunnus albacares","Yellowfin tuna","Large pelagics (>=90 cm)","Tuna & billfishes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,2.9148921393
